kode,rollenavn,rolletype
agile_coach,Agile coach,Annet
architect,Arkitekt,Annet
area_lead,Områdeleder,Leder
business_analyst,Forretningsutvikler,Annet
communication_adviser,Kommunikasjonsrådgiver,Annet
controller,Controller,Annet
data_engineer,Data engineer,Utvikler + data
data_manager,Data manager,Annet
data_scientist,Data scientist,Utvikler + data
design_lead,Design lead,Design
design_researcher,Design researcher,Design
designer,Designer,Design
developer,Utvikler,Utvikler + data
domain_expert,Domeneekspert,Faglig
domain_resource,Fagressurs,Faglig
domain_responsible,Fagansvarlig,Faglig
functional_adviser,Funksjonell rådgiver,Faglig
head_of_legal,Juridisk ansvarlig,Annet
lead,Teamleder,Leder
legal_adviser,Jurist,Annet
maintenance_manager,Vedlikeholdsansvarlig,Annet
operations,Drift,Annet
other,Annet,Annet
platform_system_technician,Platform system technician,Annet
principal,Prinsipal,Annet
product_lead,Produktleder,Leder
profit_coach,Gevinst coach,Annet
security_architect,Sikkerhetsarkitekt,Annet
security_champion,Security champion,Utvikler + data
solution_architect,Løsningsarkitekt,Annet
staffing_manager,Bemanningsansvarlig,Annet
subject_matter_expert,Fagekspert,Faglig
teamcoach,Teamcoach,Annet
tech_domain_specialist,Teknisk domenespesialist,Annet
tech_lead,Tech lead,Utvikler + data
technical_adviser,Teknisk rådgiver,Annet
technical_tester,Teknisk tester,Annet
test_lead,Testleder,Annet
tester,Tester,Annet
uu_champion,UU-Champion,Annet
uu_specialist,UU-spesialist,Annet
visual_analytics_engineer,Visual Analytics Engineer,Annet
web_analyst,Webanalytiker,Annet
